date,Adj Close,Close,High,Low,Open,Volume
12-07-2022,35131.83984,35132.25,35419.64844,35047.5,35298.69922,113400
13-07-2022,34827.39453,34827.80078,35308.14844,34757.60156,35259.80078,103400
14-07-2022,34650.79688,34651.19922,35027.60156,34558.44922,34817.94922,121300
15-07-2022,34682.24609,34682.64844,34899.94922,34463.89844,34734.44922,99100
18-07-2022,35358.28906,35358.69922,35382.5,34804.39844,34841.85156,146600
19-07-2022,35719.9375,35720.35156,35761.64844,35110.5,35113.25,183400
20-07-2022,35971.68359,35972.10156,36182.69922,35876.55078,36061.30078,173400
21-07-2022,36200.57813,36201,36331.69922,35887.35156,36026.55078,153800
22-07-2022,36738.52344,36738.94922,36823.44922,36286.35156,36322.89844,143600
25-07-2022,36725.97266,36726.39844,37011.19922,36464.64844,36766.69922,139700
26-07-2022,36408.07813,36408.5,36695.75,36334.10156,36688.55078,114000
27-07-2022,36783.32422,36783.75,36808.30078,36248.60156,36370.55078,113100
28-07-2022,37377.71484,37378.14844,37414.39844,37028.5,37102.44922,172500
29-07-2022,37490.96094,37491.39844,37754.64844,37221.14844,37717.30078,166900
01-08-2022,37902.75781,37903.19922,37939.60156,37407.19922,37594.14844,346400
02-08-2022,38023.55859,38024,38179.85156,37632.30078,37767.69922,317300
03-08-2022,37988.80859,37989.25,38068.60156,37692.94922,37954.55078,200300
04-08-2022,37755.11328,37755.55078,38231.85156,37249.5,38111.05078,186300
05-08-2022,37920.16016,37920.60156,38150.44922,37779.89844,37868.25,175900
08-08-2022,38236.95313,38237.39844,38302.35156,37681.44922,37847.35156,174100
10-08-2022,38287.40625,38287.85156,38402.94922,38155.30078,38298.85156,163900
11-08-2022,38879.39844,38879.85156,38932.10156,38648.89844,38712.94922,200900
12-08-2022,39041.84766,39042.30078,39088.89844,38739.94922,38942.44922,125300
16-08-2022,39239.19141,39239.64844,39444.60156,39119.89844,39284.10156,0
17-08-2022,39461.24219,39461.69922,39504.5,39202.80078,39351.30078,169800
18-08-2022,39655.6875,39656.14844,39703.69922,39291.14844,39324.39844,137200
19-08-2022,38985.49609,38985.94922,39759.14844,38848.39844,39732.64844,148100
22-08-2022,38297.30469,38297.75,38732.85156,38247.25,38693.64844,124300
23-08-2022,38697.19922,38697.64844,38869.89844,37950.85156,37955.44922,176400
24-08-2022,39038.04688,39038.5,39120.80078,38552.19922,38552.69922,214900
