date,ret_1d,ret_5d,ret_20d,close_vs_ma20,high_low_range,vol_20d,volume_ratio_20d,nifty_bn_spread,vix_level,vix_change,close_vs_126d_high,open_gap,target
2022-02-01,0.013667938611870323,0.024943000492350098,-0.002771499091680507,-0.010768146839128492,0.021497004171524888,0.010472846371697165,1.3747465044295015,-0.00029234787251386507,19.979999542236328,-0.08974948301729857,-0.03994133829300062,0.010934328361907514,1
2022-02-02,0.011557838585399605,0.029057313162211162,-0.0014181210597997707,0.0007363415485906134,0.006737841851799775,0.01054784555118234,0.9608162686884433,-0.009867719120960627,18.649999618530277,-0.06656656427316343,-0.028845135248476428,0.007359089498382493,0
2022-02-03,-0.012362248664229525,0.026303031700503965,-0.020365170987852288,-0.010618585864256907,0.015375679776554357,0.010766324086545641,0.806362649680622,-0.004213361209297051,19.15999984741211,0.027345857335841828,-0.04085079317801088,-0.0006889763779527559,0
2022-02-04,-0.0024998826581151823,0.0242283237542138,-0.01293817751260995,-0.012453170002678019,0.008863172763405872,0.010563816827998652,0.9260965067668108,0.0031562848425487067,18.899999618530277,-0.01356994942340517,-0.04324855364669011,0.0017084088640615953,0
2022-02-07,-0.017281112927623465,-0.007280916665606041,-0.03363328611894911,-0.027877334379133787,0.024245341988069706,0.01113897047801877,0.9345959195189476,0.003185940360310502,20.440000534057617,0.08148153156667082,-0.05978228343478864,-0.0034253807781278733,1
2022-02-08,0.0030876976246183574,-0.01764250228377684,-0.04091198554084596,-0.022843420954600957,0.015219935895579654,0.010820242746180994,0.9409497108813738,0.0022191624696092926,19.68000030517578,-0.037182006312353355,-0.05687917542472609,0.0038487011144327085,1
2022-02-09,0.01141215233034587,-0.017783983056805397,-0.03278452674355814,-0.010033793776118677,0.007910671471546164,0.0111853490449579,0.8261112664243779,-0.0038869128118139695,18.559999465942383,-0.05691061086715743,-0.046116136908751604,0.005985469725049589,1
2022-02-10,0.008133901085124018,0.0025996510663874872,-0.03330157903886255,-0.00026293270250926746,0.012058425627579613,0.011159890477031316,0.9513543586355576,-0.0022441714351204567,17.709999084472656,-0.045797435664234665,-0.038357339919671385,0.0051706286195127285,0
2022-02-11,-0.01312629691281364,-0.008081088753712273,-0.04836567075246301,-0.010905947304311107,0.008733938617821839,0.011399863984413557,0.8878832526485653,-0.0004708487146274365,18.68000030517578,0.054771387399651594,-0.05098014699991371,-0.00879535000074882,0
2022-02-14,-0.03061622289529342,-0.021541039442038223,-0.07739748948961289,-0.03731659472210228,0.01720910988258383,0.013003529645465424,1.0576057605760576,0.011149439228002822,22.979999542236328,0.2301926748828329,-0.08003555035142296,-0.017185836306997222,1
2022-02-15,0.03025912638397754,0.004963251263266022,-0.05219822980074029,-0.0054704724395125736,0.030874604111856507,0.015041004698317598,1.0283687943262412,-0.003921295671254876,20.61000061035156,-0.10313311484314025,-0.05219822980074029,0.005370200593400788,0
2022-02-16,-0.0017432697608654735,-0.008108290072343816,-0.04366197456469689,-0.004949098558851255,0.013445197557415373,0.014920420029821668,0.8393120730493289,0.003923453397009391,20.59000015258789,-0.0009704248991444508,-0.05385050396602342,0.0032272101358170125,0
2022-02-17,-0.001016014719190439,-0.017110790259141306,-0.035332067935178735,-0.004147242006622518,0.011965072057363723,0.014815956866199449,0.8028919330289194,0.010106806671373203,22.01000022888184,0.06896552043567983,-0.05481180578054856,0.004292270372893526,0
2022-02-18,-0.0016353356196504576,-0.0056662236147282385,-0.027070970251168558,-0.00439870509991703,0.009353944721510432,0.014683061830652414,0.6637377255780574,-0.0034338387404905246,22.170000076293945,0.007269415981293381,-0.056357505701828736,-0.003961306801219645,0
2022-02-21,-0.004031556958107085,0.021602678444077483,-0.02330115772971142,-0.007238272156540338,0.016293209668091405,0.014617031427302784,0.7616755446227901,-0.006330921027894121,22.899999618530277,0.03292735858025142,-0.060161854165682094,-0.004865091336058496,0
2022-02-22,-0.006651566067580439,-0.014997882818685304,-0.003317981230565259,-0.013679790504703334,0.017829771119546266,0.013418226453618967,1.066642971387951,0.001679277821790004,26.65999984741211,0.16419215246795482,-0.0664132496855313,-0.020846658921508478,0
2022-02-23,-0.0016937094155936583,-0.01494898052377247,-0.012426198041895486,-0.014739991066398683,0.011302044415630081,0.013301406293758101,0.7279073572454415,-0.0022396468124726843,24.540000915527344,-0.07951984036078508,-0.06799447435481243,0.005985232206852404,0
2022-02-24,-0.04778103847083648,-0.061061766115064864,-0.050391152364441916,-0.05947554392497088,0.030896204996050884,0.016915704760300364,1.6465639661339901,0.010090911019847715,31.979999542236328,0.3031784168354057,-0.11252666623069729,-0.030143707053169825,1
2022-02-25,0.025261660109649586,-0.03576578102272965,-0.025935571580268046,-0.034476837302582365,0.016238053694052866,0.018016534970012796,1.1911297312915343,-0.008877299065422228,26.739999771118164,-0.16385240294320957,-0.09010761651663945,0.0164759364778045,1
2022-02-28,0.008134034290366632,-0.02398781811856221,-0.03148523378512036,-0.02508075610702841,0.027367113966810633,0.017807345667454937,1.4384085692425401,0.014322537945245517,28.56999969482422,0.06843679653590096,-0.08270652066884243,-0.010613310828421424,0
2022-03-02,-0.011191633122935585,-0.028448650391728836,-0.05523745222847831,-0.03326731165742842,0.01203481997580404,0.017562768984531584,1.8002573286504155,0.011802181699803405,29.229999542236328,0.023101149963668854,-0.09297253275557793,-0.011956768623094532,0
2022-03-03,-0.00649757722841704,-0.033123772947709296,-0.07210063097581554,-0.035951383896910334,0.0197599100840748,0.017253211605242028,1.4930010300052345,0.005616280109999705,28.15999984741211,-0.036606216612426135,-0.09886601377229409,0.007060722543196233,0
2022-03-04,-0.015317032007332254,-0.0001600562474797229,-0.07487669091880589,-0.04705691922057185,0.019833380201713977,0.01734467278573223,1.4828180369973016,3.592720619272072e-05,27.959999084472656,-0.007102299858777639,-0.11266871188223881,-0.009613292384682755,0
